,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Num_of_Routes_Covered,Month,Duration_min,Season,1_Long_layover,Change_airports,Business_class,Flight_Dept_Slot,Day_of_Dept,Is_Weekend,Price_capped,Arrival_Hour,Journey_Month,Price_Category,Route_Pair,Airline_enc,Source_enc,Destination_enc,Season_enc,Flight_Dept_Slot_enc
2514,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 16:30:00,2026-02-07 10:05:00,17h 35m,1,In-flight meal not included,8586,2,5,1055,Summer,0,0,0,Aft,Thursday,0,8586.0,10,5,High,Kolkata → Banglore,4,3,0,1,0
2515,GoAir,2019-04-06,Banglore,Delhi,BLR → DEL,1900-01-01 20:55:00,2026-02-07 23:40:00,2h 45m,0,No info,3419,1,4,165,Summer,0,0,0,Evng,Saturday,1,3419.0,23,4,Low,Banglore → Delhi,2,0,2,1,1
2516,SpiceJet,2019-06-03,Kolkata,Banglore,CCU → BLR,1900-01-01 17:10:00,2026-02-07 19:40:00,2h 30m,0,No info,3873,1,6,150,Monsoon,0,0,0,Evng,Monday,0,3873.0,19,6,Low,Kolkata → Banglore,7,3,0,0,1
2517,Air India,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,1900-01-01 10:00:00,2026-02-07 20:25:00,10h 25m,1,No info,10203,2,6,625,Monsoon,0,0,0,Mrng,Thursday,0,10203.0,20,6,High,Kolkata → Banglore,1,3,0,0,2
2518,Jet Airways,2019-05-27,Delhi,Cochin,DEL → JAI → BOM → COK,1900-01-01 19:30:00,2026-02-07 04:25:00,8h 55m,2,In-flight meal not included,13029,3,5,535,Summer,0,0,0,Evng,Monday,0,13029.0,4,5,Very High,Delhi → Cochin,4,2,1,1,1
2519,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 16:30:00,2026-02-07 22:35:00,6h 5m,1,In-flight meal not included,10844,2,5,365,Summer,0,0,0,Aft,Wednesday,0,10844.0,22,5,High,Kolkata → Banglore,4,3,0,1,0
2520,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 18:55:00,2026-02-07 08:10:00,13h 15m,1,In-flight meal not included,11134,2,3,795,Summer,0,0,0,Evng,Sunday,1,11134.0,8,3,High,Kolkata → Banglore,4,3,0,1,1
2521,Vistara,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,1900-01-01 20:20:00,2026-02-07 18:50:00,22h 30m,1,No info,8610,2,6,1350,Monsoon,0,0,0,Evng,Wednesday,0,8610.0,18,6,High,Kolkata → Banglore,9,3,0,0,1
2522,IndiGo,2019-04-15,Kolkata,Banglore,CCU → BLR,1900-01-01 20:20:00,2026-02-07 22:55:00,2h 35m,0,No info,4174,1,4,155,Summer,0,0,0,Evng,Monday,0,4174.0,22,4,Low,Kolkata → Banglore,3,3,0,1,1
2523,Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 08:00:00,2026-02-07 09:30:00,25h 30m,1,In-flight meal not included,11087,2,3,1530,Summer,0,0,0,Mrng,Saturday,1,11087.0,9,3,High,Banglore → New Delhi,4,0,5,1,2
2524,SpiceJet,2019-06-18,Banglore,Delhi,BLR → DEL,1900-01-01 21:10:00,2026-02-07 00:05:00,2h 55m,0,No info,3971,1,6,175,Monsoon,0,0,0,Nyt,Tuesday,0,3971.0,0,6,Low,Banglore → Delhi,7,0,2,0,3
2525,Jet Airways,2019-04-09,Delhi,Cochin,DEL → BOM → COK,1900-01-01 07:05:00,2026-02-07 19:00:00,11h 55m,1,No info,17531,2,4,715,Summer,0,0,0,Mrng,Tuesday,0,17531.0,19,4,Very High,Delhi → Cochin,4,2,1,1,2
2526,SpiceJet,2019-06-06,Banglore,Delhi,BLR → DEL,1900-01-01 05:55:00,2026-02-07 08:35:00,2h 40m,0,No check-in baggage included,3573,1,6,160,Monsoon,0,0,0,Mrng,Thursday,0,3573.0,8,6,Low,Banglore → Delhi,7,0,2,0,2
2527,Air India,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 09:25:00,2026-02-07 07:55:00,22h 30m,1,No info,8366,2,5,1350,Summer,0,0,0,Mrng,Wednesday,0,8366.0,7,5,High,Kolkata → Banglore,1,3,0,1,2
2528,Air India,2019-03-03,Kolkata,Banglore,CCU → BLR,1900-01-01 14:15:00,2026-02-07 16:45:00,2h 30m,0,No info,13885,1,3,150,Summer,0,0,0,Aft,Sunday,1,13885.0,16,3,Very High,Kolkata → Banglore,1,3,0,1,0
2529,Multiple carriers,2019-06-09,Delhi,Cochin,DEL → IXU → BOM → COK,1900-01-01 17:50:00,2026-02-07 01:30:00,7h 40m,2,No info,18485,3,6,460,Monsoon,0,0,0,Evng,Sunday,1,18485.0,1,6,Very High,Delhi → Cochin,5,2,1,0,1
2530,Air Asia,2019-04-27,Kolkata,Banglore,CCU → BLR,1900-01-01 19:55:00,2026-02-07 22:25:00,2h 30m,0,No info,4409,1,4,150,Summer,0,0,0,Evng,Saturday,1,4409.0,22,4,Low,Kolkata → Banglore,0,3,0,1,1
2531,Vistara,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,1900-01-01 20:20:00,2026-02-07 23:25:00,27h 5m,1,No info,8085,2,5,1625,Summer,0,0,0,Evng,Wednesday,0,8085.0,23,5,Medium,Kolkata → Banglore,9,3,0,1,1
2532,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1900-01-01 17:30:00,2026-02-07 01:30:00,8h,1,No info,13377,2,6,480,Monsoon,0,0,0,Evng,Thursday,0,13377.0,1,6,Very High,Delhi → Cochin,5,2,1,0,1
2533,Air India,2019-05-21,Delhi,Cochin,DEL → UDR → BOM → COK,1900-01-01 13:20:00,2026-02-07 07:40:00,18h 20m,2,No info,13538,3,5,1100,Summer,0,0,0,Aft,Tuesday,0,13538.0,7,5,Very High,Delhi → Cochin,1,2,1,1,0
2534,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,1900-01-01 19:00:00,2026-02-07 01:35:00,6h 35m,1,No info,15147,2,3,395,Summer,0,0,0,Evng,Wednesday,0,15147.0,1,3,Very High,Delhi → Cochin,5,2,1,1,1
2535,Jet Airways,2019-05-27,Banglore,Delhi,BLR → DEL,1900-01-01 11:10:00,2026-02-07 14:05:00,2h 55m,0,In-flight meal not included,4030,1,5,175,Summer,0,0,0,Mrng,Monday,0,4030.0,14,5,Low,Banglore → Delhi,4,0,2,1,2
2536,Multiple carriers,2019-06-06,Delhi,Cochin,DEL → BOM → COK,1900-01-01 08:00:00,2026-02-07 19:15:00,11h 15m,1,No info,14848,2,6,675,Monsoon,0,0,0,Mrng,Thursday,0,14848.0,19,6,Very High,Delhi → Cochin,5,2,1,0,2
2537,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 22:50:00,2026-02-07 08:15:00,9h 25m,1,No info,13555,2,3,565,Summer,0,0,0,Nyt,Monday,0,13555.0,8,3,Very High,Banglore → New Delhi,4,0,5,1,3
2538,Air India,2019-05-18,Delhi,Cochin,DEL → HYD → MAA → COK,1900-01-01 07:05:00,2026-02-07 09:25:00,26h 20m,2,No info,10975,3,5,1580,Summer,0,0,0,Mrng,Saturday,1,10975.0,9,5,High,Delhi → Cochin,1,2,1,1,2
2539,Jet Airways,2019-05-21,Delhi,Cochin,DEL → JAI → BOM → COK,1900-01-01 09:40:00,2026-02-07 12:35:00,26h 55m,2,In-flight meal not included,13029,3,5,1615,Summer,0,0,0,Mrng,Tuesday,0,13029.0,12,5,Very High,Delhi → Cochin,4,2,1,1,2
2540,Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 08:25:00,2026-02-07 09:20:00,24h 55m,1,In-flight meal not included,9663,2,5,1495,Summer,0,0,0,Mrng,Sunday,1,9663.0,9,5,High,Kolkata → Banglore,4,3,0,1,2
2541,Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,1900-01-01 10:20:00,2026-02-07 11:50:00,1h 30m,0,In-flight meal not included,4050,1,6,90,Monsoon,0,0,0,Mrng,Saturday,1,4050.0,11,6,Low,Mumbai → Hyderabad,4,4,3,0,2
2542,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,1900-01-01 17:30:00,2026-02-07 04:25:00,10h 55m,1,No info,14714,2,6,655,Monsoon,0,0,0,Evng,Monday,0,14714.0,4,6,Very High,Delhi → Cochin,4,2,1,0,1
2543,Air India,2019-03-01,Banglore,New Delhi,BLR → VGA → HYD → DEL,1900-01-01 10:30:00,2026-02-07 21:25:00,10h 55m,2,No info,11213,3,3,655,Summer,0,0,0,Mrng,Friday,0,11213.0,21,3,High,Banglore → New Delhi,1,0,5,1,2
2544,Jet Airways,2019-04-09,Banglore,Delhi,BLR → DEL,1900-01-01 06:00:00,2026-02-07 08:45:00,2h 45m,0,In-flight meal not included,4544,1,4,165,Summer,0,0,0,Mrng,Tuesday,0,4544.0,8,4,Low,Banglore → Delhi,4,0,2,1,2
2545,SpiceJet,2019-06-15,Kolkata,Banglore,CCU → BLR,1900-01-01 09:00:00,2026-02-07 11:25:00,2h 25m,0,No info,3873,1,6,145,Monsoon,0,0,0,Mrng,Saturday,1,3873.0,11,6,Low,Kolkata → Banglore,7,3,0,0,2
2546,Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,1900-01-01 13:00:00,2026-02-07 21:00:00,8h,1,No info,12537,2,4,480,Summer,0,0,0,Aft,Tuesday,0,12537.0,21,4,Very High,Delhi → Cochin,5,2,1,1,0
2547,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → DEL → BLR,1900-01-01 09:35:00,2026-02-07 19:10:00,9h 35m,1,No info,13067,2,5,575,Summer,0,0,0,Mrng,Monday,0,13067.0,19,5,Very High,Kolkata → Banglore,4,3,0,1,2
2549,Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 06:45:00,2026-02-07 12:15:00,5h 30m,1,No info,8714,2,3,330,Summer,0,0,0,Mrng,Friday,0,8714.0,12,3,High,Banglore → New Delhi,1,0,5,1,2
2550,Jet Airways,2019-06-03,Delhi,Cochin,DEL → NAG → BOM → COK,1900-01-01 14:35:00,2026-02-07 12:35:00,22h,2,No info,13376,3,6,1320,Monsoon,0,0,0,Aft,Monday,0,13376.0,12,6,Very High,Delhi → Cochin,4,2,1,0,0
2551,SpiceJet,2019-06-27,Chennai,Kolkata,MAA → CCU,1900-01-01 08:20:00,2026-02-07 10:35:00,2h 15m,0,No info,3597,1,6,135,Monsoon,0,0,0,Mrng,Thursday,0,3597.0,10,6,Low,Chennai → Kolkata,7,1,4,0,2
2552,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1900-01-01 12:50:00,2026-02-07 01:30:00,12h 40m,1,No info,7670,2,5,760,Summer,0,0,0,Aft,Saturday,1,7670.0,1,5,Medium,Delhi → Cochin,5,2,1,1,0
2553,Air India,2019-03-24,Kolkata,Banglore,CCU → GAU → DEL → BLR,1900-01-01 09:50:00,2026-02-07 23:15:00,37h 25m,2,No info,14410,3,3,2245,Summer,0,0,0,Mrng,Sunday,1,14410.0,23,3,Very High,Kolkata → Banglore,1,3,0,1,2
2554,Air India,2019-05-15,Delhi,Cochin,DEL → MAA → COK,1900-01-01 09:45:00,2026-02-07 09:25:00,23h 40m,1,No info,7480,2,5,1420,Summer,0,0,0,Mrng,Wednesday,0,7480.0,9,5,Medium,Delhi → Cochin,1,2,1,1,2
2555,Jet Airways,2019-05-09,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 20:00:00,2026-02-07 18:15:00,22h 15m,1,No info,13584,2,5,1335,Summer,0,0,0,Evng,Thursday,0,13584.0,18,5,Very High,Kolkata → Banglore,4,3,0,1,1
2557,Jet Airways,2019-04-01,Banglore,Delhi,BLR → DEL,1900-01-01 17:45:00,2026-02-07 20:45:00,3h,0,In-flight meal not included,4544,1,4,180,Summer,0,0,0,Evng,Monday,0,4544.0,20,4,Low,Banglore → Delhi,4,0,2,1,1
2558,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1900-01-01 09:15:00,2026-02-07 19:15:00,10h,1,No info,8099,2,5,600,Summer,0,0,0,Mrng,Tuesday,0,8099.0,19,5,Medium,Delhi → Cochin,5,2,1,1,2
2559,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 16:30:00,2026-02-07 04:40:00,12h 10m,1,In-flight meal not included,10844,2,5,730,Summer,0,0,0,Aft,Wednesday,0,10844.0,4,5,High,Kolkata → Banglore,4,3,0,1,0
2560,Jet Airways,2019-03-21,Delhi,Cochin,DEL → BOM → COK,1900-01-01 19:15:00,2026-02-07 04:25:00,9h 10m,1,No info,12557,2,3,550,Summer,0,0,0,Evng,Thursday,0,12557.0,4,3,Very High,Delhi → Cochin,4,2,1,1,1
2561,Jet Airways,2019-05-09,Delhi,Cochin,DEL → COK,1900-01-01 11:00:00,2026-02-07 14:15:00,3h 15m,0,No info,9564,1,5,195,Summer,0,0,0,Mrng,Thursday,0,9564.0,14,5,High,Delhi → Cochin,4,2,1,1,2
2562,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 21:25:00,2026-02-07 09:30:00,12h 5m,1,No info,13817,2,3,725,Summer,0,0,0,Nyt,Tuesday,0,13817.0,9,3,Very High,Banglore → New Delhi,4,0,5,1,3
2563,Jet Airways,2019-05-18,Kolkata,Banglore,CCU → DEL → BLR,1900-01-01 09:35:00,2026-02-07 19:10:00,9h 35m,1,In-flight meal not included,12384,2,5,575,Summer,0,0,0,Mrng,Saturday,1,12384.0,19,5,Very High,Kolkata → Banglore,4,3,0,1,2
2564,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1900-01-01 04:55:00,2026-02-07 19:15:00,14h 20m,1,No info,7575,2,5,860,Summer,0,0,0,Nyt,Tuesday,0,7575.0,19,5,Medium,Delhi → Cochin,5,2,1,1,3
2565,Air India,2019-05-06,Kolkata,Banglore,CCU → GAU → DEL → BLR,1900-01-01 16:45:00,2026-02-07 12:00:00,19h 15m,2,No info,14120,3,5,1155,Summer,0,0,0,Aft,Monday,0,14120.0,12,5,Very High,Kolkata → Banglore,1,3,0,1,0
2566,Multiple carriers,2019-03-09,Delhi,Cochin,DEL → HYD → COK,1900-01-01 07:05:00,2026-02-07 22:20:00,15h 15m,1,No info,6916,2,3,915,Summer,0,0,0,Mrng,Saturday,1,6916.0,22,3,Medium,Delhi → Cochin,5,2,1,1,2
2567,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,1900-01-01 07:10:00,2026-02-07 22:30:00,15h 20m,1,No info,7878,2,5,920,Summer,0,0,0,Mrng,Monday,0,7878.0,22,5,Medium,Delhi → Cochin,5,2,1,1,2
2568,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 22:50:00,2026-02-07 20:20:00,21h 30m,1,In-flight meal not included,11087,2,3,1290,Summer,0,0,0,Nyt,Monday,0,11087.0,20,3,High,Banglore → New Delhi,4,0,5,1,3
2569,IndiGo,2019-04-27,Kolkata,Banglore,CCU → BLR,1900-01-01 14:25:00,2026-02-07 16:55:00,2h 30m,0,No info,4804,1,4,150,Summer,0,0,0,Aft,Saturday,1,4804.0,16,4,Low,Kolkata → Banglore,3,3,0,1,0
2570,SpiceJet,2019-06-15,Chennai,Kolkata,MAA → CCU,1900-01-01 09:45:00,2026-02-07 12:00:00,2h 15m,0,No info,3597,1,6,135,Monsoon,0,0,0,Mrng,Saturday,1,3597.0,12,6,Low,Chennai → Kolkata,7,1,4,0,2
2571,Air India,2019-05-15,Kolkata,Banglore,CCU → IXR → DEL → BLR,1900-01-01 05:50:00,2026-02-07 16:15:00,34h 25m,2,No info,12723,3,5,2065,Summer,0,0,0,Mrng,Wednesday,0,12723.0,16,5,Very High,Kolkata → Banglore,1,3,0,1,2
2572,IndiGo,2019-05-15,Mumbai,Hyderabad,BOM → HYD,1900-01-01 20:05:00,2026-02-07 21:40:00,1h 35m,0,No info,2227,1,5,95,Summer,0,0,0,Evng,Wednesday,0,2227.0,21,5,Low,Mumbai → Hyderabad,3,4,3,1,1
2573,Air India,2019-05-24,Delhi,Cochin,DEL → BOM → COK,1900-01-01 07:00:00,2026-02-07 19:15:00,12h 15m,1,No info,9929,2,5,735,Summer,0,0,0,Mrng,Friday,0,9929.0,19,5,High,Delhi → Cochin,1,2,1,1,2
2574,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 21:10:00,2026-02-07 09:20:00,12h 10m,1,In-flight meal not included,11841,2,6,730,Monsoon,0,0,0,Nyt,Sunday,1,11841.0,9,6,High,Kolkata → Banglore,4,3,0,0,3
2575,Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,1900-01-01 11:30:00,2026-02-07 04:25:00,16h 55m,1,In-flight meal not included,12373,2,5,1015,Summer,0,0,0,Mrng,Thursday,0,12373.0,4,5,Very High,Delhi → Cochin,4,2,1,1,2
2576,Jet Airways,2019-05-21,Delhi,Cochin,DEL → BOM → COK,1900-01-01 20:55:00,2026-02-07 19:00:00,22h 5m,1,In-flight meal not included,12898,2,5,1325,Summer,0,0,0,Evng,Tuesday,0,12898.0,19,5,Very High,Delhi → Cochin,4,2,1,1,1
2577,Air India,2019-03-03,Delhi,Cochin,DEL → BHO → BOM → COK,1900-01-01 05:55:00,2026-02-07 07:40:00,25h 45m,2,No info,15113,3,3,1545,Summer,0,0,0,Mrng,Sunday,1,15113.0,7,3,Very High,Delhi → Cochin,1,2,1,1,2
2578,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,1900-01-01 11:40:00,2026-02-07 19:00:00,7h 20m,1,No info,10529,2,5,440,Summer,0,0,0,Mrng,Saturday,1,10529.0,19,5,High,Delhi → Cochin,5,2,1,1,2
2579,Air India,2019-03-27,Delhi,Cochin,DEL → HYD → BOM → COK,1900-01-01 13:05:00,2026-02-07 07:40:00,18h 35m,2,No info,8875,3,3,1115,Summer,0,0,0,Aft,Wednesday,0,8875.0,7,3,High,Delhi → Cochin,1,2,1,1,0
2580,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 08:25:00,2026-02-07 20:45:00,12h 20m,1,In-flight meal not included,10844,2,5,740,Summer,0,0,0,Mrng,Wednesday,0,10844.0,20,5,High,Kolkata → Banglore,4,3,0,1,2
2581,Air India,2019-03-01,Banglore,New Delhi,BLR → DEL,1900-01-01 06:10:00,2026-02-07 08:55:00,2h 45m,0,No info,15676,1,3,165,Summer,0,0,0,Mrng,Friday,0,15676.0,8,3,Very High,Banglore → New Delhi,1,0,5,1,2
2582,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 08:25:00,2026-02-07 23:35:00,15h 10m,1,In-flight meal not included,7064,2,4,910,Summer,0,0,0,Mrng,Monday,0,7064.0,23,4,Medium,Kolkata → Banglore,4,3,0,1,2
2583,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 08:25:00,2026-02-07 19:50:00,11h 25m,1,In-flight meal not included,10844,2,6,685,Monsoon,0,0,0,Mrng,Sunday,1,10844.0,19,6,High,Kolkata → Banglore,4,3,0,0,2
2584,Jet Airways,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,1900-01-01 14:00:00,2026-02-07 16:50:00,26h 50m,1,No info,19595,2,3,1610,Summer,0,0,0,Aft,Wednesday,0,18766.85,16,3,Very High,Mumbai → Hyderabad,4,4,3,1,0
2585,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 14:05:00,2026-02-07 08:15:00,18h 10m,1,No info,13941,2,5,1090,Summer,0,0,0,Aft,Wednesday,0,13941.0,8,5,Very High,Kolkata → Banglore,4,3,0,1,0
2586,IndiGo,2019-03-21,Delhi,Cochin,DEL → HYD → COK,1900-01-01 08:35:00,2026-02-07 16:10:00,7h 35m,1,No info,6790,2,3,455,Summer,0,0,0,Mrng,Thursday,0,6790.0,16,3,Medium,Delhi → Cochin,3,2,1,1,2
2587,SpiceJet,2019-04-27,Kolkata,Banglore,CCU → BLR,1900-01-01 09:00:00,2026-02-07 11:25:00,2h 25m,0,No check-in baggage included,3841,1,4,145,Summer,0,0,0,Mrng,Saturday,1,3841.0,11,4,Low,Kolkata → Banglore,7,3,0,1,2
2588,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 11:40:00,2026-02-07 09:00:00,21h 20m,1,In-flight meal not included,11087,2,3,1280,Summer,0,0,0,Mrng,Monday,0,11087.0,9,3,High,Banglore → New Delhi,4,0,5,1,2
2589,Air India,2019-05-15,Delhi,Cochin,DEL → AMD → BOM → COK,1900-01-01 19:45:00,2026-02-07 19:15:00,23h 30m,2,No info,11491,3,5,1410,Summer,0,0,0,Evng,Wednesday,0,11491.0,19,5,High,Delhi → Cochin,1,2,1,1,1
2590,IndiGo,2019-04-09,Banglore,Delhi,BLR → DEL,1900-01-01 05:30:00,2026-02-07 08:20:00,2h 50m,0,No info,3943,1,4,170,Summer,0,0,0,Mrng,Tuesday,0,3943.0,8,4,Low,Banglore → Delhi,3,0,2,1,2
2591,Jet Airways,2019-03-01,Banglore,New Delhi,BLR → BOM → DEL,1900-01-01 11:40:00,2026-02-07 07:40:00,20h,1,No info,22270,2,3,1200,Summer,0,0,0,Mrng,Friday,0,18766.85,7,3,Very High,Banglore → New Delhi,4,0,5,1,2
2592,Vistara,2019-06-09,Banglore,Delhi,BLR → DEL,1900-01-01 17:00:00,2026-02-07 19:35:00,2h 35m,0,No info,4878,1,6,155,Monsoon,0,0,0,Evng,Sunday,1,4878.0,19,6,Low,Banglore → Delhi,9,0,2,0,1
2593,Jet Airways,2019-06-09,Delhi,Cochin,DEL → BOM → COK,1900-01-01 22:50:00,2026-02-07 04:25:00,5h 35m,1,No info,14714,2,6,335,Monsoon,0,0,0,Nyt,Sunday,1,14714.0,4,6,Very High,Delhi → Cochin,4,2,1,0,3
2594,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,1900-01-01 06:40:00,2026-02-07 19:00:00,12h 20m,1,No info,10877,2,6,740,Monsoon,0,0,0,Mrng,Monday,0,10877.0,19,6,High,Delhi → Cochin,5,2,1,0,2
2596,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 20:00:00,2026-02-07 12:00:00,16h,1,No info,14571,2,5,960,Summer,0,0,0,Evng,Friday,0,14571.0,12,5,Very High,Kolkata → Banglore,4,3,0,1,1
2597,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 18:55:00,2026-02-07 20:45:00,25h 50m,1,In-flight meal not included,7064,2,4,1550,Summer,0,0,0,Evng,Monday,0,7064.0,20,4,Medium,Kolkata → Banglore,4,3,0,1,1
2598,IndiGo,2019-03-06,Kolkata,Banglore,CCU → BLR,1900-01-01 15:20:00,2026-02-07 17:55:00,2h 35m,0,No info,5618,1,3,155,Summer,0,0,0,Aft,Wednesday,0,5618.0,17,3,Medium,Kolkata → Banglore,3,3,0,1,0
2599,Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,1900-01-01 14:00:00,2026-02-07 01:30:00,11h 30m,1,No info,13727,2,5,690,Summer,0,0,0,Aft,Wednesday,0,13727.0,1,5,Very High,Delhi → Cochin,5,2,1,1,0
2600,Vistara,2019-04-01,Delhi,Cochin,DEL → COK,1900-01-01 14:40:00,2026-02-07 17:50:00,3h 10m,0,No info,4851,1,4,190,Summer,0,0,0,Aft,Monday,0,4851.0,17,4,Low,Delhi → Cochin,9,2,1,1,0
2601,Air India,2019-03-24,Kolkata,Banglore,CCU → BBI → BOM → BLR,1900-01-01 09:10:00,2026-02-07 21:50:00,12h 40m,2,No info,15187,3,3,760,Summer,0,0,0,Mrng,Sunday,1,15187.0,21,3,Very High,Kolkata → Banglore,1,3,0,1,2
2602,GoAir,2019-05-15,Banglore,Delhi,BLR → DEL,1900-01-01 07:45:00,2026-02-07 10:40:00,2h 55m,0,No info,3419,1,5,175,Summer,0,0,0,Mrng,Wednesday,0,3419.0,10,5,Low,Banglore → Delhi,2,0,2,1,2
2603,IndiGo,2019-04-01,Banglore,Delhi,BLR → DEL,1900-01-01 06:05:00,2026-02-07 08:50:00,2h 45m,0,No info,3943,1,4,165,Summer,0,0,0,Mrng,Monday,0,3943.0,8,4,Low,Banglore → Delhi,3,0,2,1,2
2604,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,1900-01-01 09:40:00,2026-02-07 12:35:00,26h 55m,2,No info,15129,3,5,1615,Summer,0,0,0,Mrng,Saturday,1,15129.0,12,5,Very High,Delhi → Cochin,4,2,1,1,2
2605,IndiGo,2019-06-21,Banglore,Delhi,BLR → DEL,1900-01-01 00:25:00,2026-02-07 03:15:00,2h 50m,0,No info,3419,1,6,170,Monsoon,0,0,0,Nyt,Friday,0,3419.0,3,6,Low,Banglore → Delhi,3,0,2,0,3
2606,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,1900-01-01 20:00:00,2026-02-07 19:15:00,23h 15m,2,No info,10861,3,5,1395,Summer,0,0,0,Evng,Tuesday,0,10861.0,19,5,High,Delhi → Cochin,1,2,1,1,1
2607,IndiGo,2019-04-21,Delhi,Cochin,DEL → BLR → COK,1900-01-01 05:10:00,2026-02-07 10:05:00,4h 55m,1,No info,7074,2,4,295,Summer,0,0,0,Mrng,Sunday,1,7074.0,10,4,Medium,Delhi → Cochin,3,2,1,1,2
2608,Air India,2019-05-06,Kolkata,Banglore,CCU → BOM → COK → BLR,1900-01-01 09:25:00,2026-02-07 15:05:00,29h 40m,2,No info,11542,3,5,1780,Summer,0,0,0,Mrng,Monday,0,11542.0,15,5,High,Kolkata → Banglore,1,3,0,1,2
2609,IndiGo,2019-04-21,Delhi,Cochin,DEL → HYD → COK,1900-01-01 06:50:00,2026-02-07 12:10:00,5h 20m,1,No info,6968,2,4,320,Summer,0,0,0,Mrng,Sunday,1,6968.0,12,4,Medium,Delhi → Cochin,3,2,1,1,2
2610,Jet Airways,2019-06-12,Banglore,Delhi,BLR → DEL,1900-01-01 17:45:00,2026-02-07 20:45:00,3h,0,In-flight meal not included,5769,1,6,180,Monsoon,0,0,0,Evng,Wednesday,0,5769.0,20,6,Medium,Banglore → Delhi,4,0,2,0,1
2611,Vistara,2019-06-12,Kolkata,Banglore,CCU → DEL → BLR,1900-01-01 20:20:00,2026-02-07 22:40:00,26h 20m,1,No info,7927,2,6,1580,Monsoon,0,0,0,Evng,Wednesday,0,7927.0,22,6,Medium,Kolkata → Banglore,9,3,0,0,1
2612,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,1900-01-01 18:55:00,2026-02-07 08:15:00,13h 20m,1,No info,13044,2,6,800,Monsoon,0,0,0,Evng,Wednesday,0,13044.0,8,6,Very High,Kolkata → Banglore,4,3,0,0,1
2613,Jet Airways,2019-05-21,Delhi,Cochin,DEL → AMD → BOM → COK,1900-01-01 23:05:00,2026-02-07 12:35:00,13h 30m,2,No info,15129,3,5,810,Summer,0,0,0,Nyt,Tuesday,0,15129.0,12,5,Very High,Delhi → Cochin,4,2,1,1,3
2614,SpiceJet,2019-05-01,Kolkata,Banglore,CCU → BLR,1900-01-01 09:00:00,2026-02-07 11:25:00,2h 25m,0,No check-in baggage included,3841,1,5,145,Summer,0,0,0,Mrng,Wednesday,0,3841.0,11,5,Low,Kolkata → Banglore,7,3,0,1,2
